fund_name,fund_extended_name,category,fund_family,net_assets,ytd_return,fund_yield,morningstar_rating,inception_date,investment,size,currency,net_annual_expense_ratio_fund,net_annual_expense_ratio_category,portfolio_cash,portfolio_stocks,portfolio_preferred,price_earnings,price_book,price_sales,price_cashflow,median_market_cap,basic_materials,consumer_cyclical,financial_services,real_estate,consumer_defensive,healthcare,utilities,communication_services,energy,industrials,technology,fund_return_ytd,category_return_ytd,fund_return_1month,category_return_1month,fund_return_3months,category_return_3months,fund_return_1year,category_return_1year,fund_return_3years,category_return_3years,fund_return_5years,category_return_5years,fund_return_10years,category_return_10years,fund_return_2018,category_return_2018,fund_return_2017,category_return_2017,fund_return_2016,category_return_2016,fund_return_2015,category_return_2015,fund_return_2014,category_return_2014,fund_return_2013,category_return_2013,fund_return_2012,category_return_2012,fund_return_2011,category_return_2011,fund_return_2010,category_return_2010,morningstar_risk_rating,years_up,years_down,fund_mean_annual_return_3years,category_mean_annual_return_3years,fund_mean_annual_return_5years,category_mean_annual_return_5years,fund_mean_annual_return_10years,category_mean_annual_return_10years,fund_r_squared_3years,category_r_squared_3years,fund_r_squared_5years,category_r_squared_5years,fund_r_squared_10years,category_r_squared_10years,fund_standard_deviation_3years,category_standard_deviation_3years,fund_standard_deviation_5years,category_standard_deviation_5years,fund_standard_deviation_10years,category_standard_deviation_10years,fund_sharpe_ratio_3years,category_sharpe_ratio_3years,fund_sharpe_ratio_5years,category_sharpe_ratio_5years,fund_sharpe_ratio_10years,category_sharpe_ratio_10years,fund_treynor_ratio_3years,category_treynor_ratio_3years,fund_treynor_ratio_5years,category_treynor_ratio_5years,fund_treynor_ratio_10years,category_treynor_ratio_10years
OMECX,"JPMorgan Market Expansion Enhanced Index Fund Class C",Small Blend,"JPMorgan",957400000,12.77,0.66,3,1999-03-21,Blend,Small,USD,1.1,1.15,2.6,97.4,0,14.59,1.76,0.78,6.41,3334.3,6.51,12.19,16.36,8.8,3.18,10.8,3.5,0.77,4.07,16.54,17.28,12.77,13.34,-2.12,-2.31,12.77,13.34,-1.93,-0.03,9.12,10.17,6.81,5.62,14.99,14.67,-13.86,-12.72,13.69,12.28,20.58,20.78,-1.91,-5.38,8.56,3.79,35.06,37.39,16.05,15.46,-2.52,-4.07,23.53,25.61,2,14,5,0.82,0.01,0.63,0.01,1.28,0.01,77.18,0.68,76.38,0.65,84.17,0.76,14.42,0.16,14.01,0.15,16.04,0.17,0.59,0.01,0.48,0,0.92,0.01,6.62,0.08,5.48,0.04,12.53,0.12
OMGCX,"JPMorgan Mid Cap Growth Fund Class C",Mid-Cap Growth,"JPMorgan",4270000000,21.15,0,3,1997-11-03,Growth,Medium,USD,1.74,1.19,2.26,97.74,0,23.49,4.42,2.79,16.94,16872.81,1.4,18.9,6.94,1.15,0,15.45,0,0,1.04,21.15,33.97,21.15,18.19,1.15,0.92,21.15,18.19,10.25,8.04,15.03,14.18,9.48,8.99,16.07,15.7,-5.92,-6.65,28.43,23.91,-0.6,6.03,1.97,-0.95,10.13,7,41.19,34.93,14.99,14.07,-6.54,-3.96,24.44,24.61,4,15,6,1.26,0.01,0.85,0.01,1.36,0.01,83.02,0.81,78.13,0.78,83.03,0.82,14.25,0.14,14.73,0.14,16.6,0.16,0.97,0.01,0.64,0.01,0.96,0.01,11.37,0.11,7.47,0.07,13.11,0.14
OMGNX,"Oppenheimer Main Street Fund Class R",Large Blend,"OppenheimerFunds",9290000000,14.51,0.67,3,2001-02-28,Growth,Large,USD,1.18,0.94,1.4,98.6,0,16.93,3.39,2.3,11.14,83356.37,0.86,13.84,17.52,2.84,6.84,16.29,1.49,1.89,5.39,10.51,22.52,14.51,12.94,1.79,1.29,14.51,12.94,8.7,6.9,10.48,11.84,8.84,8.91,14.4,14.54,-8.12,-6.27,16.4,20.44,11.13,10.37,2.86,-1.07,10.2,10.96,31.19,31.5,16.26,14.96,-0.49,-1.27,15.49,14.01,3,13,4,0.88,0.01,0.76,0.01,1.2,0.01,95.31,0.92,96.62,0.93,96.12,0.94,10.97,0.11,11.3,0.12,12.94,0.13,0.85,0.01,0.74,0.01,1.07,0.01,9.2,0.11,8.1,0.08,13.95,0.14
OMSCX,"Oppenheimer Main Street All Cap Fund Class C",Large Blend,"OppenheimerFunds",1130000000,15.36,0,2,2000-09-24,Growth,Large,USD,1.88,0.94,1.76,98.24,0,17.43,2.83,2.1,10.16,71581.96,1.81,13.13,16.24,3.45,6.16,14.59,4,2.28,4.95,9.53,23.87,15.36,12.94,1.05,1.29,15.36,12.94,3.96,6.9,8.59,11.84,5.94,8.91,12.55,14.54,-11.03,-6.27,15.23,20.44,9.01,10.37,-2.11,-1.07,6.65,10.96,28.2,31.5,15.08,14.96,-3.61,-1.27,16,14.01,3,13,5,0.74,0.01,0.54,0.01,1.06,0.01,93.4,0.92,94.33,0.93,91.42,0.94,11.15,0.11,11.32,0.12,13.42,0.13,0.68,0.01,0.5,0.01,0.92,0.01,7.27,0.11,5.22,0.08,11.96,0.14
OMSIX,"Oppenheimer Main Street Fund Class I",Large Blend,"OppenheimerFunds",9290000000,14.7,1.34,3,2011-12-28,Growth,Large,USD,0.5,0.94,1.4,98.6,0,16.93,3.39,2.3,11.14,83356.37,0.86,13.84,17.52,2.84,6.84,16.29,1.49,1.89,5.39,10.51,22.52,14.7,12.94,1.86,1.29,14.7,12.94,9.42,6.9,11.22,11.84,9.58,8.91,15.04,14.54,-7.52,-6.27,17.18,20.44,11.9,10.37,3.56,-1.07,10.95,10.96,32.06,31.5,17.07,14.96,NaN,NaN,NaN,NaN,3,6,1,0.94,0.01,0.82,0.01,1.24,0.01,95.34,0.92,96.64,0.93,96.13,0.94,10.98,0.11,11.31,0.12,12.95,0.13,0.91,0.01,0.8,0.01,1.12,0.01,9.93,0.11,8.82,0.08,14.58,0.14
OMSNX,"Oppenheimer Main Street All Cap Fund Class R",Large Blend,"OppenheimerFunds",1130000000,15.53,0.18,2,2001-02-28,Growth,Large,USD,1.39,0.94,1.76,98.24,0,17.43,2.83,2.1,10.16,71581.96,1.81,13.13,16.24,3.45,6.16,14.59,4,2.28,4.95,9.53,23.87,15.53,12.94,1.1,1.29,15.53,12.94,4.51,6.9,9.15,11.84,6.47,8.91,13.1,14.54,-10.57,-6.27,15.78,20.44,9.55,10.37,-1.6,-1.07,7.18,10.96,28.83,31.5,15.56,14.96,-3.12,-1.27,16.39,14.01,3,12,5,0.78,0.01,0.58,0.01,1.1,0.01,93.5,0.92,94.38,0.93,91.29,0.94,11.16,0.11,11.36,0.12,13.44,0.13,0.73,0.01,0.54,0.01,0.95,0.01,7.82,0.11,5.75,0.08,12.49,0.14
OMSOX,"Oppenheimer Main Street All Cap Fund Class A",Large Blend,"OppenheimerFunds",1130000000,15.67,0.4,2,2000-09-24,Growth,Large,USD,1.13,0.94,1.76,98.24,0,17.43,2.83,2.1,10.16,71581.96,1.81,13.13,16.24,3.45,6.16,14.59,4,2.28,4.95,9.53,23.87,15.67,12.94,1.12,1.29,15.67,12.94,4.77,6.9,9.42,11.84,6.74,8.91,13.4,14.54,-10.38,-6.27,16.07,20.44,9.82,10.37,-1.37,-1.07,7.42,10.96,29.2,31.5,15.96,14.96,-2.93,-1.27,16.83,14.01,3,13,5,0.8,0.01,0.6,0.01,1.13,0.01,93.48,0.92,94.36,0.93,91.36,0.94,11.21,0.11,11.37,0.12,13.45,0.13,0.74,0.01,0.56,0.01,0.97,0.01,8.05,0.11,6.01,0.08,12.78,0.14
OMSYX,"Oppenheimer Main Street All Cap Fund Class Y",Large Blend,"OppenheimerFunds",1130000000,15.75,0.64,2,2000-09-24,Growth,Large,USD,0.88,0.94,1.76,98.24,0,17.43,2.83,2.1,10.16,71581.96,1.81,13.13,16.24,3.45,6.16,14.59,4,2.28,4.95,9.53,23.87,15.75,12.94,1.15,1.29,15.75,12.94,5.06,6.9,9.7,11.84,7,8.91,13.74,14.54,-10.18,-6.27,16.4,20.44,10.02,10.37,-1.07,-1.07,7.7,10.96,29.57,31.5,16.33,14.96,-2.64,-1.27,17.27,14.01,3,13,5,0.83,0.01,0.62,0.01,1.15,0.01,93.51,0.92,94.41,0.93,91.33,0.94,11.19,0.11,11.37,0.12,13.47,0.13,0.77,0.01,0.58,0.01,0.99,0.01,8.34,0.11,6.28,0.08,13.1,0.14
ONRDX,"Oppenheimer Rising Dividends Fund Class R",Large Blend,"OppenheimerFunds",2840000000,12.68,0.83,2,2001-02-28,Blend,Large,USD,1.31,0.94,2.04,97.96,0,17.3,3.26,2.04,10.41,75238.04,2.16,13.77,19.82,5.16,2.73,12.33,3.97,1.69,6.58,9.57,22.22,12.68,12.94,1.35,1.29,12.68,12.94,6.81,6.9,9.21,11.84,6.74,8.91,11.62,14.54,-6.75,-6.27,16.45,20.44,4.24,10.37,-0.93,-1.07,10.68,10.96,26.91,31.5,12.22,14.96,2.04,-1.27,12.76,14.01,2,13,4,0.78,0.01,0.59,0.01,0.98,0.01,97.37,0.92,96.38,0.93,96.23,0.94,10.05,0.11,10.93,0.12,12.35,0.13,0.8,0.01,0.58,0.01,0.92,0.01,8.56,0.11,6.18,0.08,11.7,0.14
OPGIX,"Oppenheimer Global Opportunities Fund Class A",World Small/Mid Stock,"OppenheimerFunds",8060000000,13.92,0,5,1990-10-21,Growth,Medium,USD,1.13,1.34,1.83,98.17,0,24.12,2,1.77,14.36,5296.01,0.31,12.91,1.69,1.11,3.1,28.28,0,0.58,0,11.87,40.16,13.92,12.59,-1.88,-0.16,13.92,12.59,-14.69,-3.51,18.12,9.95,11.31,4.93,17.19,12.77,-18.09,-14.25,52.52,25.44,10.7,9.32,13.93,-1.23,-3.46,-0.42,40.68,30.99,10.28,18.46,-9.24,-11.76,12.63,20.56,5,19,9,1.57,0.01,1.06,0,1.49,0.01,56.44,0.63,46.52,0.64,60.35,0.75,20.69,0.13,19.63,0.13,19.86,0.17,0.85,0.01,0.6,0,0.88,0.01,11.46,0.1,9.42,0.05,17.1,0.14
OPGSX,"Oppenheimer Gold & Special Minerals Fund Class A",Equity Precious Metals,"OppenheimerFunds",961180000,9.07,0,4,1983-07-18,Growth,Medium,USD,1.17,1.39,2.78,97.23,0,14.64,1.55,2.64,7.55,2224.59,99.19,0,0,0,0,0,0,0,0,0.81,0,9.07,8.08,-2.31,-1.21,9.07,8.08,3.37,-4.83,6.69,3.41,0.13,-2.07,-0.85,-2.95,-13.15,-17.8,17.19,11.33,48.74,54.81,-23.14,-23.25,-15.39,-10.03,-47.83,-48.8,-9.14,-9.2,-25.69,-20.68,54.5,41.56,4,18,17,0.9,0.01,0.48,0,0.41,0,1.72,0.03,3.09,0.06,9.76,0.08,30.68,0.33,34.07,0.36,34.28,0.34,0.31,0,0.14,0,0.13,0,13.46,0.05,-1.24,-0.05,-1.69,-0.05
OPMBX,"Oppenheimer Main Street Mid Cap B",Mid-Cap Blend,"OppenheimerFunds",2740000000,0.37,0,2,1999-08-01,Blend,Medium,USD,1.85,1.06,1.66,98.34,0,16.53,2.67,1.95,9.56,12455.66,5.25,12.46,13.23,5.48,3.04,11.37,4.02,1.42,8.48,18.7,16.55,0.37,13.94,1.2,-0.22,-3.1,13.94,7.12,2.33,5.15,9.67,9.37,6.34,7.81,14.51,NaN,-11.15,13.81,15.93,12.55,14.14,-7.95,-4.75,11.44,7.8,32.33,34.1,15.76,16.15,-3.42,-3.81,22.18,22.52,3,13,5,0.45,0.01,0.79,0.01,0.79,0.01,78.63,0.81,77.74,0.8,84.36,0.85,9.13,0.13,9.75,0.13,19.65,0.15,0.53,0.01,0.93,0,0.46,0.01,5.72,0.08,10.3,0.05,6.22,0.13
OPMCX,"Oppenheimer Main Street Mid Cap Fund Class C",Mid-Cap Blend,"OppenheimerFunds",2260000000,16.07,0,3,1999-08-01,Blend,Medium,USD,1.84,1.06,2.74,97.26,0,16.27,2.43,1.83,11.12,13466.66,7.14,9.16,8.76,8.89,4.07,13.43,4.84,2.36,7.85,17.69,15.81,16.07,13.94,0.42,-0.22,16.07,13.94,1.9,2.33,8.13,9.67,5.13,6.34,14.34,14.51,-12.89,-11.15,13.82,15.93,12.57,14.14,-7.93,-4.75,11.44,7.8,32.38,34.1,15.92,16.15,-3.4,-3.81,22.26,22.52,4,13,6,0.72,0.01,0.48,0.01,1.24,0.01,85.5,0.81,82.67,0.8,81.18,0.85,12.75,0.13,12.59,0.13,16.76,0.15,0.58,0.01,0.4,0,0.86,0.01,6.23,0.08,4.23,0.05,11.67,0.13
OPMIX,"Oppenheimer Main Street Mid Cap Fund Class I",Mid-Cap Blend,"OppenheimerFunds",2260000000,16.45,0.38,3,2012-10-25,Blend,Medium,USD,0.67,1.06,2.74,97.26,0,16.27,2.43,1.83,11.12,13466.66,7.14,9.16,8.76,8.89,4.07,13.43,4.84,2.36,7.85,17.69,15.81,16.45,13.94,0.54,-0.22,16.45,13.94,3.11,2.33,9.41,9.67,6.38,6.34,15.7,14.51,-11.89,-11.15,15.18,15.93,13.92,14.14,-6.85,-4.75,12.78,7.8,34.04,34.1,NaN,NaN,NaN,NaN,NaN,NaN,3,4,2,0.82,0.01,0.58,0.01,1.34,0.01,85.48,0.81,82.67,0.8,81.15,0.85,12.78,0.13,12.62,0.13,16.79,0.15,0.67,0.01,0.49,0,0.93,0.01,7.37,0.08,5.44,0.05,12.79,0.13
OPMNX,"Oppenheimer Main Street Mid Cap Fund Class R",Mid-Cap Blend,"OppenheimerFunds",2260000000,16.26,0,3,2001-02-28,Blend,Medium,USD,1.34,1.06,2.74,97.26,0,16.27,2.43,1.83,11.12,13466.66,7.14,9.16,8.76,8.89,4.07,13.43,4.84,2.36,7.85,17.69,15.81,16.26,13.94,0.49,-0.22,16.26,13.94,2.43,2.33,8.67,9.67,5.66,6.34,14.91,14.51,-12.49,-11.15,14.41,15.93,13.13,14.14,-7.5,-4.75,12.03,7.8,32.97,34.1,16.45,16.15,-2.93,-3.81,22.88,22.52,4,11,6,0.76,0.01,0.53,0.01,1.28,0.01,85.56,0.81,82.71,0.8,81.18,0.85,12.78,0.13,12.61,0.13,16.79,0.15,0.61,0.01,0.44,0,0.88,0.01,6.7,0.08,4.74,0.05,12.12,0.13
OPMSX,"Oppenheimer Main Street Mid Cap Fund Class A",Mid-Cap Blend,"OppenheimerFunds",2260000000,16.28,0,3,1999-08-01,Blend,Medium,USD,1.1,1.06,2.74,97.26,0,16.27,2.43,1.83,11.12,13466.66,7.14,9.16,8.76,8.89,4.07,13.43,4.84,2.36,7.85,17.69,15.81,16.28,13.94,0.5,-0.22,16.28,13.94,2.65,2.33,8.94,9.67,5.92,6.34,15.21,14.51,-12.25,-11.15,14.68,15.93,13.42,14.14,-7.22,-4.75,12.27,7.8,33.4,34.1,16.77,16.15,-2.65,-3.81,23.15,22.52,4,13,6,0.78,0.01,0.55,0.01,1.3,0.01,85.53,0.81,82.67,0.8,81.12,0.85,12.76,0.13,12.6,0.13,16.79,0.15,0.63,0.01,0.46,0,0.9,0.01,6.96,0.08,5,0.05,12.38,0.13
OPMYX,"Oppenheimer Main Street Mid Cap Fund Class Y",Mid-Cap Blend,"OppenheimerFunds",2260000000,16.39,0.19,3,1999-08-01,Blend,Medium,USD,0.84,1.06,2.74,97.26,0,16.27,2.43,1.83,11.12,13466.66,7.14,9.16,8.76,8.89,4.07,13.43,4.84,2.36,7.85,17.69,15.81,16.39,13.94,0.53,-0.22,16.39,13.94,2.96,2.33,9.22,9.67,6.19,6.34,15.57,14.51,-12.03,-11.15,14.98,15.93,13.68,14.14,-6.99,-4.75,12.57,7.8,33.82,34.1,17.26,16.15,-2.31,-3.81,23.72,22.52,4,13,6,0.8,0.01,0.57,0.01,1.33,0.01,85.47,0.81,82.62,0.8,81.13,0.85,12.77,0.13,12.62,0.13,16.8,0.15,0.65,0.01,0.48,0,0.92,0.01,7.2,0.08,5.25,0.05,12.68,0.13
OPOCX,"Oppenheimer Discovery Fund Class A",Small Growth,"OppenheimerFunds",2530000000,19.11,0,4,1986-09-10,Growth,Medium,USD,1.08,1.2,3.36,96.64,0,31.76,4.13,3.6,15.17,4486.1,4.58,13.72,7.95,0,6.64,22.06,0,2.2,0.6,13.94,28.3,19.11,17.01,-0.47,-1.12,19.11,17.01,10.37,7.7,17.94,15.88,9.57,8.45,16.87,16.24,-3.6,-5.76,29.12,21.5,4.22,11.2,1.98,-2.41,-2.2,2.44,46.11,40.91,16.99,13.15,1.47,-3.55,27.75,26.98,3,23,9,1.49,0.01,0.88,0.01,1.42,0.01,74.6,0.7,63.96,0.65,68.75,0.73,15.7,0.16,16.6,0.17,16.7,0.18,1.05,0.01,0.59,0.01,1,0.01,13.18,0.12,7.39,0.06,15.05,0.13
OPPAX,"Oppenheimer Global Fund Class A",World Large Stock,"OppenheimerFunds",10980000000,16.84,0.42,4,1969-12-21,Growth,Large,USD,1.12,1.11,0.55,99.43,0.02,17.36,2.53,1.9,12.24,51954.55,0,16.12,16.77,1.72,4.58,15.75,0,0,0.67,14.29,30.1,16.84,12.27,1.79,1.11,16.84,12.27,1.14,1.85,13.81,9.96,7.74,5.89,13.69,11.79,-13.56,-9.64,36.24,23.61,0.16,5.54,3.89,-1.69,2.06,2.79,26.77,25.19,20.75,15.84,-8.69,-7.93,15.68,13.74,5,35,14,1.15,0.01,0.7,0.01,1.18,0.01,80.29,0.73,78.91,0.78,88.08,0.84,12.94,0.11,13.52,0.11,15.74,0.14,0.97,0.01,0.56,0,0.87,0.01,11.41,0.1,6.94,0.06,14.12,0.14
OPTFX,"Oppenheimer Capital Appreciation Fund Class A",Large Growth,"OppenheimerFunds",3920000000,15.79,0,2,1981-01-21,Growth,Large,USD,1.05,1.06,1.71,98.29,0,19,4.12,2.06,12.26,89523.46,1.53,21.64,11.89,0,1.46,10.82,1.58,0,2.41,11.29,37.38,15.79,15.67,2.7,2.12,15.79,15.67,9.72,10.71,13.11,15.35,9.85,11.26,13.88,15.94,-5.96,-2.09,26.53,27.67,-2.34,3.23,3.22,3.6,15.07,10,29.24,33.92,13.69,15.34,-1.57,-2.46,9.14,15.53,3,27,10,1.1,0.01,0.86,0.01,1.17,0.01,88.11,0.84,87.13,0.86,90.39,0.88,13.06,0.13,13.13,0.13,14.23,0.14,0.91,0.01,0.72,0.01,0.96,0.01,10.35,0.13,8.26,0.1,12.6,0.15
OPTIX,"Oppenheimer Capital Appreciation Fund Class I",Large Growth,"OppenheimerFunds",3920000000,16.21,0.21,3,2011-12-28,Growth,Large,USD,0.63,1.06,1.71,98.29,0,19,4.12,2.06,12.26,89523.46,1.53,21.64,11.89,0,1.46,10.82,1.58,0,2.41,11.29,37.38,16.21,15.67,2.74,2.12,16.21,15.67,10.44,10.71,13.66,15.35,10.36,11.26,14.26,15.94,-5.58,-2.09,27.04,27.67,-1.94,3.23,3.66,3.6,15.55,10,29.82,33.92,14.25,15.34,NaN,NaN,NaN,NaN,3,5,2,1.14,0.01,0.9,0.01,1.2,0.01,88.23,0.84,87.18,0.86,90.39,0.88,13.07,0.13,13.14,0.13,14.23,0.14,0.95,0.01,0.76,0.01,0.98,0.01,10.82,0.13,8.72,0.1,12.96,0.15
OREAX,"Oppenheimer Real Estate Fund Class A",Real Estate,"OppenheimerFunds",1040000000,16.42,1.95,3,2002-03-03,Blend,Medium,USD,1.34,1.22,1.59,98.41,0,38.02,2.18,4.72,4.11,12895.85,0,0,0,100,0,0,0,0,0,0,0,16.42,16.14,3.55,3.49,16.42,16.14,17.22,17.08,4.82,6,8.22,8.29,17.62,17.24,-5.96,-5.97,4.06,6.22,6.07,6.89,2.39,2.41,31.4,28.03,2.84,1.55,15.65,17.6,8.12,7.51,27.18,27.08,4,13,3,0.47,0.01,0.74,0.01,1.51,0.01,28.12,0.3,22.43,0.28,44.47,0.46,13.33,0.13,14.36,0.14,19.35,0.18,0.32,0,0.57,0.01,0.91,0.01,5.03,0.07,12.07,0.12,18.52,0.19
OREBX,"Oppenheimer Real Estate B",Real Estate,"OppenheimerFunds",976450000,-6.13,0.33,2,2003-09-30,Blend,Medium,USD,2.09,1.22,0.35,99.65,0,43.52,2.02,6.77,16.73,11564.13,0,2.93,0,94.86,0,0,0,2.21,0,0,0,-6.13,16.14,0.71,3.49,-2.79,16.14,-3.56,17.08,1.72,6,4,8.29,4.68,17.24,NaN,-5.97,3.26,6.22,5.24,6.89,1.6,2.41,30.45,28.03,2.05,1.55,14.81,17.6,7.28,7.51,26.23,27.08,3,12,2,0.21,0.01,0.41,0.01,0.64,0.01,25.27,0.3,13.99,0.28,52.88,0.46,13,0.13,13.86,0.14,24.78,0.18,0.14,0,0.32,0.01,0.3,0.01,1.78,0.07,7.16,0.12,4.02,0.19
ORECX,"Oppenheimer Real Estate Fund Class C",Real Estate,"OppenheimerFunds",1040000000,16.18,1.32,2,2003-09-30,Blend,Medium,USD,2.09,1.22,1.59,98.41,0,38.02,2.18,4.72,4.11,12895.85,0,0,0,100,0,0,0,0,0,0,0,16.18,16.14,3.46,3.49,16.18,16.14,16.32,17.08,4.03,6,7.41,8.29,16.74,17.24,-6.67,-5.97,3.28,6.22,5.26,6.89,1.64,2.41,30.42,28.03,2.04,1.55,14.8,17.6,7.29,7.51,26.17,27.08,4,12,3,0.4,0.01,0.68,0.01,1.44,0.01,28.04,0.3,22.4,0.28,44.38,0.46,13.33,0.13,14.35,0.14,19.36,0.18,0.27,0,0.51,0.01,0.87,0.01,3.91,0.07,10.76,0.12,17.58,0.19
OREIX,"Oppenheimer Real Estate Fund Class I",Real Estate,"OppenheimerFunds",1040000000,16.53,2.31,3,2012-08-27,Blend,Medium,USD,0.92,1.22,1.59,98.41,0,38.02,2.18,4.72,4.11,12895.85,0,0,0,100,0,0,0,0,0,0,0,16.53,16.14,3.6,3.49,16.53,16.14,17.7,17.08,5.26,6,8.69,8.29,17.96,17.24,-5.55,-5.97,4.5,6.22,6.51,6.89,2.84,2.41,32.02,28.03,3.35,1.55,NaN,17.6,NaN,NaN,NaN,NaN,3,5,1,0.5,0.01,0.78,0.01,1.53,0.01,28.19,0.3,22.51,0.28,44.51,0.46,13.34,0.13,14.37,0.14,19.34,0.18,0.35,0,0.6,0.01,0.93,0.01,5.64,0.07,12.8,0.12,18.89,0.19
ORENX,"Oppenheimer Real Estate Fund Class R",Real Estate,"OppenheimerFunds",1040000000,16.36,1.73,3,2003-09-30,Blend,Medium,USD,1.59,1.22,1.59,98.41,0,38.02,2.18,4.72,4.11,12895.85,0,0,0,100,0,0,0,0,0,0,0,16.36,16.14,3.51,3.49,16.36,16.14,16.93,17.08,4.56,6,7.95,8.29,17.32,17.24,-6.21,-5.97,3.81,6.22,5.79,6.89,2.14,2.41,31.11,28.03,2.54,1.55,15.37,17.6,7.79,7.51,26.88,27.08,4,12,3,0.44,0.01,0.72,0.01,1.49,0.01,28.18,0.3,22.5,0.28,44.47,0.46,13.34,0.13,14.37,0.14,19.36,0.18,0.3,0,0.55,0.01,0.9,0.01,4.65,0.07,11.61,0.12,18.19,0.19
OREYX,"Oppenheimer Real Estate Fund Class Y",Real Estate,"OppenheimerFunds",1040000000,16.47,2.15,3,2003-09-30,Blend,Medium,USD,1.09,1.22,1.59,98.41,0,38.02,2.18,4.72,4.11,12895.85,0,0,0,100,0,0,0,0,0,0,0,16.47,16.14,3.56,3.49,16.47,16.14,17.48,17.08,5.07,6,8.48,8.29,17.96,17.24,-5.75,-5.97,4.34,6.22,6.33,6.89,2.63,2.41,31.7,28.03,3.11,1.55,16.05,17.6,8.47,7.51,27.71,27.08,4,12,3,0.48,0.01,0.76,0.01,1.53,0.01,28.1,0.3,22.4,0.28,44.46,0.46,13.33,0.13,14.37,0.14,19.36,0.18,0.34,0,0.58,0.01,0.93,0.01,5.38,0.07,12.49,0.12,18.89,0.19
OSGCX,"JPMorgan Small Cap Growth Fund Class C",Small Growth,"JPMorgan",2710000000,23.28,0,4,1997-11-03,Growth,Medium,USD,1.78,1.2,1.6,98.4,0,22.79,3.15,1.69,13.43,3291.58,2.6,19.21,3.74,1.57,4.82,23.36,0,0,0.5,14.23,29.98,23.28,17.01,0.88,-1.12,23.28,17.01,10.49,7.7,24.75,15.88,11.12,8.45,18.29,16.24,-5.3,-5.76,40.35,21.5,7.26,11.2,-2.61,-2.41,-0.79,2.44,47.17,40.91,11.75,13.15,-4.09,-3.55,33.1,26.98,5,13,8,1.98,0.01,1.04,0.01,1.57,0.01,72.62,0.7,63.38,0.65,72.2,0.73,17.32,0.16,19.21,0.17,19.55,0.18,1.3,0.01,0.61,0.01,0.94,0.01,17.06,0.12,7.55,0.06,13.64,0.13
OSGIX,"JPMorgan Mid Cap Growth Fund Class A",Mid-Cap Growth,"JPMorgan",4270000000,21.33,0,3,1992-02-17,Growth,Medium,USD,1.24,1.19,2.26,97.74,0,23.49,4.42,2.79,16.94,16872.81,1.4,18.9,6.94,1.15,0,15.45,0,0,1.04,21.15,33.97,21.33,18.19,1.21,0.92,21.33,18.19,10.81,8.04,15.61,14.18,10.03,8.99,16.66,15.7,-5.45,-6.65,29.07,23.91,-0.12,6.03,2.51,-0.95,10.64,7,41.9,34.93,15.59,14.07,-6.11,-3.96,25.09,24.61,4,19,7,1.3,0.01,0.89,0.01,1.41,0.01,83.03,0.81,78.17,0.78,83.08,0.82,14.28,0.14,14.76,0.14,16.62,0.16,1,0.01,0.67,0.01,0.99,0.01,11.83,0.11,7.92,0.07,13.59,0.14
OSVBX,"Oppenheimer Dividend Opportunity B",Large Value,"OppenheimerFunds",265120000,-1.21,1.36,1,2004-02-26,Value,Large,USD,1.93,1,2.25,97.14,0.61,14.47,1.83,1.56,8.7,62508.59,1.98,7.26,21.41,4.61,9.5,6.18,6.84,4.85,13.29,12.29,11.81,-1.21,11.29,1.23,0.46,-4.44,11.29,8.38,4.48,6.46,10.01,7.82,7.2,3.78,13.68,NaN,-8.53,13.47,15.94,12.75,14.81,-0.51,-4.05,4.13,10.21,22.49,31.21,10.73,14.57,-11.62,-0.75,18.28,13.66,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
OSVCX,"JPMorgan Small Cap Value Fund Class C",Small Value,"JPMorgan",1620000000,11.44,0.7,2,1999-03-21,Value,Small,USD,1.74,1.21,2.29,97.71,0,13.14,1.28,0.52,3.64,1523.56,5.12,11.27,26.38,12.76,2.72,5,6.17,0.68,4.24,11.93,13.72,11.44,12.13,-3.19,-3.2,11.44,12.13,-2.55,-2.55,6.87,8.3,3.4,3.94,13.22,14.12,-14.67,-15.46,2.3,8.54,29.09,25.99,-8.35,-6.71,3.36,3.34,35.31,36.22,19.42,16,-4.72,-4.45,24.71,26.17,3,13,6,0.66,0.01,0.38,0,1.17,0.01,59.19,0.6,57.3,0.6,74.13,0.73,16.24,0.16,15.85,0.16,17.91,0.18,0.41,0,0.24,0,0.76,0.01,4.79,0.06,2.42,0.03,10.5,0.11
